timestamp,type,exchange,symbol,futures_price,spot_price,basis,basis_percent,open_interest,volume_24h,put_call_ratio,implied_volatility,skew,funding_rate,funding_rate_percent,next_funding_time
2025-09-24T12:23:27.115567+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,8e-05,0.008,2025-09-24T20:00:00+00:00
2025-09-24T16:15:25.891479+00:00,futures,binance,BTC/USDT,113230.4,113313.41,-0.0007325699579600447,-0.07325699579600448,88164.484,12948881680.26,,,,,,
2025-09-24T16:15:27.284117+00:00,futures,bybit,BTC/USDT,113262.9,113307.8,-0.0003962657469301207,-0.03962657469301207,0.0,7536582219.6024,,,,,,
2025-09-24T16:15:29.495888+00:00,futures,bitmex,BTC/USDT,113254.4,113139.0,0.0010199842671403687,0.10199842671403686,0.0,31571570.17967001,,,,,,
2025-09-24T16:15:29.670378+00:00,funding,binance,BTC/USDT,,,,,,,,,,4.697e-05,0.004697,2025-09-25T00:00:00+00:00
2025-09-24T16:15:29.895678+00:00,funding,okx,BTC/USDT,,,,,,,,,,-1.66682371689e-05,-0.00166682371689,2025-09-25T00:00:00+00:00
2025-09-24T16:15:30.135042+00:00,funding,bybit,BTC/USDT,,,,,,,,,,7.375e-05,0.0073750000000000005,2025-09-25T00:00:00+00:00
2025-09-24T16:15:31.645165+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,8e-05,0.008,2025-09-24T20:00:00+00:00
2025-09-24T20:13:37.267580+00:00,futures,bitmex,BTC/USDT,113418.3,113299.0,0.0010529660455961916,0.10529660455961916,0.0,26586890.75436001,,,,,,
2025-09-24T20:13:37.542851+00:00,funding,okx,BTC/USDT,,,,,,,,,,-9.58820759867e-05,-0.00958820759867,2025-09-25T00:00:00+00:00
2025-09-24T20:13:39.389659+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,-3.1e-05,-0.0031000000000000003,2025-09-25T04:00:00+00:00
2025-09-25T00:53:42.971229+00:00,futures,bitmex,BTC/USDT,113032.2,113106.0,-0.0006524852792955539,-0.06524852792955539,0.0,25971802.49133001,,,,,,
2025-09-25T00:53:43.194783+00:00,funding,okx,BTC/USDT,,,,,,,,,,-6.47639861958e-05,-0.00647639861958,2025-09-25T08:00:00+00:00
2025-09-25T00:53:45.041176+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,-3.1e-05,-0.0031000000000000003,2025-09-25T04:00:00+00:00
2025-09-25T04:14:40.928911+00:00,futures,bitmex,BTC/USDT,112168.7,112497.0,-0.002918300043556743,-0.2918300043556743,0.0,24013157.98698,,,,,,
2025-09-25T04:14:41.144968+00:00,funding,okx,BTC/USDT,,,,,,,,,,3.96957791876e-05,0.00396957791876,2025-09-25T08:00:00+00:00
2025-09-25T04:14:44.066597+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,-5.7e-05,-0.0057,2025-09-25T12:00:00+00:00
2025-09-25T08:16:20.598363+00:00,futures,bitmex,BTC/USDT,111922.3,111797.0,0.0011207814163171007,0.11207814163171008,0.0,30019113.49527,,,,,,
2025-09-25T08:16:20.775186+00:00,funding,okx,BTC/USDT,,,,,,,,,,7.07365698044e-05,0.00707365698044,2025-09-25T16:00:00+00:00
2025-09-25T08:16:22.747818+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,-5.7e-05,-0.0057,2025-09-25T12:00:00+00:00
2025-09-25T12:23:31.995482+00:00,futures,bitmex,BTC/USDT,111466.1,111500.0,-0.0003040358744394097,-0.03040358744394097,0.0,29929207.59099,,,,,,
2025-09-25T12:23:32.230862+00:00,funding,okx,BTC/USDT,,,,,,,,,,5.78253003035e-05,0.0057825300303499996,2025-09-25T16:00:00+00:00
2025-09-25T12:23:34.043493+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-25T20:00:00+00:00
2025-09-25T16:14:54.616250+00:00,futures,bitmex,BTC/USDT,111491.3,111625.0,-0.0011977603583426392,-0.11977603583426391,0.0,46155678.15552001,,,,,,
2025-09-25T16:14:54.847278+00:00,funding,okx,BTC/USDT,,,,,,,,,,6.77370828437e-05,0.0067737082843700005,2025-09-26T00:00:00+00:00
2025-09-25T16:14:56.711336+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-25T20:00:00+00:00
2025-09-25T20:13:36.305750+00:00,futures,bitmex,BTC/USDT,109151.3,109234.0,-0.0007570902832451168,-0.07570902832451168,0.0,60441830.82142002,,,,,,
2025-09-25T20:13:36.551568+00:00,funding,okx,BTC/USDT,,,,,,,,,,9.20870613994e-05,0.00920870613994,2025-09-26T00:00:00+00:00
2025-09-25T20:13:38.405709+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-26T04:00:00+00:00
2025-09-26T00:53:03.351299+00:00,futures,bitmex,BTC/USDT,109364.9,109146.5,0.002000980333771529,0.2000980333771529,0.0,66046709.67078002,,,,,,
2025-09-26T00:53:03.580407+00:00,funding,okx,BTC/USDT,,,,,,,,,,3.04590976306e-05,0.00304590976306,2025-09-26T08:00:00+00:00
2025-09-26T00:53:05.573039+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-26T04:00:00+00:00
2025-09-26T04:14:21.804891+00:00,futures,bitmex,BTC/USDT,109477.1,109411.0,0.0006041440074581699,0.060414400745816985,0.0,64150773.934890024,,,,,,
2025-09-26T04:14:21.986637+00:00,funding,okx,BTC/USDT,,,,,,,,,,6.26050655863e-05,0.00626050655863,2025-09-26T08:00:00+00:00
2025-09-26T04:14:24.075984+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-26T12:00:00+00:00
2025-09-26T08:16:57.638027+00:00,futures,bitmex,BTC/USDT,109455.0,109460.5,-5.0246435928942405e-05,-0.00502464359289424,0.0,58570416.18635004,,,,,,
2025-09-26T08:16:57.851516+00:00,funding,okx,BTC/USDT,,,,,,,,,,-2.25546592232e-05,-0.00225546592232,2025-09-26T16:00:00+00:00
2025-09-26T08:16:59.742408+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-26T12:00:00+00:00
2025-09-26T12:22:35.406362+00:00,futures,bitmex,BTC/USDT,108811.1,109172.0,-0.0033057926940973344,-0.3305792694097334,0.0,61014293.5055,,,,,,
2025-09-26T12:22:35.576120+00:00,funding,okx,BTC/USDT,,,,,,,,,,5.14522644455e-05,0.005145226444549999,2025-09-26T16:00:00+00:00
2025-09-26T12:22:37.428007+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-26T20:00:00+00:00
2025-09-26T16:14:49.356190+00:00,futures,bitmex,BTC/USDT,109228.4,109265.0,-0.00033496545096788375,-0.03349654509678838,0.0,51241527.69636998,,,,,,
2025-09-26T16:14:49.587527+00:00,funding,okx,BTC/USDT,,,,,,,,,,8.47763784819e-05,0.00847763784819,2025-09-27T00:00:00+00:00
2025-09-26T16:14:51.616221+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-26T20:00:00+00:00
2025-09-26T20:13:13.241169+00:00,futures,bitmex,BTC/USDT,109144.3,109230.0,-0.0007845829900210298,-0.07845829900210298,0.0,39461059.38908999,,,,,,
